review_id,order_id,customer_id,product_id,rating,review_text,review_date,helpful_votes
REV006135,ORD006136,CUST00908,PROD0040,4,"Very good, happy with purchase.",2023-05-03,10
REV004205,ORD004206,CUST00686,PROD0024,5,Excellent product!,2023-10-21,121
REV000913,ORD000914,CUST01318,PROD0114,4,"Very good, happy with purchase.",2024-01-29,127
REV000773,ORD000774,CUST01168,PROD0036,5,Excellent product!,2024-03-22,71
REV003785,ORD003786,CUST01985,PROD0023,3,"Average, could be better.",2024-03-20,52
REV007176,ORD007177,CUST01345,PROD0128,2,Disappointed with quality.,2023-10-19,44
REV002810,ORD002811,CUST01599,PROD0003,4,"Very good, happy with purchase.",2023-05-29,147
REV001264,ORD001265,CUST01007,PROD0119,1,"Terrible, do not buy.",2023-10-25,50
REV001728,ORD001729,CUST00802,PROD0138,5,,2023-11-07,8
REV003256,ORD003257,CUST01489,PROD0040,4,"Very good, happy with purchase.",2023-10-04,127
REV008498,ORD008499,CUST00417,PROD0121,4,"Very good, happy with purchase.",2022-10-27,79
REV003645,ORD003646,CUST00912,PROD0116,4,"Very good, happy with purchase.",2024-02-08,48
REV006192,ORD006193,CUST01566,PROD0025,4,"Very good, happy with purchase.",2023-06-20,140
REV000588,ORD000589,CUST01144,PROD0091,4,"Very good, happy with purchase.",2024-02-11,62
REV005867,ORD005868,CUST01294,PROD0123,1,"Terrible, do not buy.",2023-11-13,10
REV000287,ORD000288,CUST00758,PROD0076,2,Disappointed with quality.,2024-03-03,146
REV002308,ORD002309,CUST01414,PROD0023,4,"Very good, happy with purchase.",2023-11-07,143
REV001772,ORD001773,CUST00890,PROD0123,3,"Average, could be better.",2024-01-08,13
REV004007,ORD004008,CUST00180,PROD0072,5,Excellent product!,2023-11-25,144
REV005259,ORD005260,CUST00651,PROD0127,3,"Average, could be better.",2023-12-02,69
REV004839,ORD004840,CUST00117,PROD0107,2,Disappointed with quality.,2024-01-27,104
REV002325,ORD002326,CUST00083,PROD0079,3,"Average, could be better.",2022-10-20,118
REV007565,ORD007566,CUST00939,PROD0140,4,"Very good, happy with purchase.",2023-10-25,19
REV002041,ORD002042,CUST00795,PROD0129,1,"Terrible, do not buy.",2022-09-20,54
REV006546,ORD006547,CUST01140,PROD0044,3,"Average, could be better.",2024-03-21,110
REV004673,ORD004674,CUST01100,PROD0012,4,"Very good, happy with purchase.",2023-03-20,30
REV000671,ORD000672,CUST00088,PROD0013,4,"Very good, happy with purchase.",2023-08-28,95
REV003934,ORD003935,CUST00071,PROD0110,5,Excellent product!,2024-01-25,44
REV004582,ORD004583,CUST01138,PROD0019,5,Excellent product!,2024-02-10,143
REV003118,ORD003119,CUST01679,PROD0145,3,"Average, could be better.",2022-07-17,46
REV007297,ORD007298,CUST01914,PROD0090,2,Disappointed with quality.,2024-03-14,150
REV001973,ORD001974,CUST00416,PROD0044,5,Excellent product!,2024-02-26,62
REV000514,ORD000515,CUST01590,PROD0114,5,Excellent product!,2023-06-02,41
REV001218,ORD001219,CUST01140,PROD0057,5,Excellent product!,2024-01-04,96
REV000306,ORD000307,CUST00197,PROD0133,1,"Terrible, do not buy.",2023-12-25,112
REV002280,ORD002281,CUST01169,PROD0148,4,"Very good, happy with purchase.",2023-06-13,106
REV005902,ORD005903,CUST00710,PROD0057,5,Excellent product!,2024-03-10,20
REV002275,ORD002276,CUST01042,PROD0147,5,Excellent product!,2023-09-25,81
REV004760,ORD004761,CUST01462,PROD0105,2,Disappointed with quality.,2023-01-09,74
REV007663,ORD007664,CUST00397,PROD0018,5,Excellent product!,2023-07-20,22
REV002117,ORD002118,CUST00434,PROD0129,4,"Very good, happy with purchase.",2024-01-01,55
REV004820,ORD004821,CUST01041,PROD0025,2,Disappointed with quality.,2023-12-19,131
REV006368,ORD006369,CUST00162,PROD0137,4,"Very good, happy with purchase.",2022-04-05,94
REV006628,ORD006629,CUST01594,PROD0080,3,"Average, could be better.",2023-08-28,17
REV002944,ORD002945,CUST00808,PROD0034,5,Excellent product!,2024-03-18,58
REV006146,ORD006147,CUST01078,PROD0085,5,Excellent product!,2024-03-17,9
REV006246,ORD006247,CUST00313,PROD0133,5,Excellent product!,2023-07-15,10
REV008181,ORD008182,CUST00196,PROD0143,4,"Very good, happy with purchase.",2023-01-28,85
REV008396,ORD008397,CUST00706,PROD0136,1,,2023-04-04,150
REV005328,ORD005329,CUST00571,PROD0084,3,"Average, could be better.",2024-04-20,28
REV002288,ORD002289,CUST00866,PROD0132,4,"Very good, happy with purchase.",2023-06-07,64
REV000586,ORD000587,CUST00085,PROD0127,5,Excellent product!,2024-02-15,65
REV000545,ORD000546,CUST00910,PROD0062,4,"Very good, happy with purchase.",2023-03-23,56
REV001050,ORD001051,CUST01540,PROD0015,4,"Very good, happy with purchase.",2023-07-14,35
REV005698,ORD005699,CUST00355,PROD0051,4,"Very good, happy with purchase.",2024-02-18,147
REV003259,ORD003260,CUST01207,PROD0071,3,"Average, could be better.",2023-11-25,69
REV003945,ORD003946,CUST01253,PROD0131,5,Excellent product!,2024-02-22,86
REV002803,ORD002804,CUST00507,PROD0118,4,"Very good, happy with purchase.",2024-03-18,99
REV006687,ORD006688,CUST01246,PROD0052,5,Excellent product!,2023-03-25,49
REV004619,ORD004620,CUST01388,PROD0121,5,Excellent product!,2024-02-22,78
REV007547,ORD007548,CUST01872,PROD0066,2,Disappointed with quality.,2022-12-24,98
REV004330,ORD004331,CUST00864,PROD0118,4,"Very good, happy with purchase.",2024-01-31,50
REV002203,ORD002204,CUST01456,PROD0082,5,,2023-05-08,4
REV000297,ORD000298,CUST00208,PROD0145,2,Disappointed with quality.,2023-09-16,49
REV007273,ORD007274,CUST01587,PROD0080,5,Excellent product!,2024-03-01,130
REV001126,ORD001127,CUST00889,PROD0114,3,"Average, could be better.",2024-04-02,86
REV003314,ORD003315,CUST00089,PROD0062,4,"Very good, happy with purchase.",2024-03-10,80
REV001348,ORD001349,CUST01305,PROD0057,5,Excellent product!,2023-04-30,107
REV001037,ORD001038,CUST00018,PROD0023,4,"Very good, happy with purchase.",2023-09-30,144
REV003827,ORD003828,CUST01257,PROD0087,4,"Very good, happy with purchase.",2024-03-05,23
REV004454,ORD004455,CUST01183,PROD0090,1,"Terrible, do not buy.",2024-01-01,44
REV006134,ORD006135,CUST01913,PROD0131,3,"Average, could be better.",2023-06-11,75
REV004711,ORD004712,CUST00164,PROD0057,4,"Very good, happy with purchase.",2024-03-23,147
REV005287,ORD005288,CUST00445,PROD0012,4,"Very good, happy with purchase.",2023-02-07,75
REV008267,ORD008268,CUST00228,PROD0133,4,,2022-11-04,10
REV003538,ORD003539,CUST00423,PROD0067,5,Excellent product!,2023-08-01,36
REV006920,ORD006921,CUST00670,PROD0022,4,"Very good, happy with purchase.",2024-03-03,35
REV003175,ORD003176,CUST00122,PROD0099,4,"Very good, happy with purchase.",2024-04-27,78
REV007150,ORD007151,CUST01666,PROD0039,4,"Very good, happy with purchase.",2023-02-28,28
REV005500,ORD005501,CUST00357,PROD0085,4,"Very good, happy with purchase.",2023-07-11,126
REV004168,ORD004169,CUST00009,PROD0083,4,"Very good, happy with purchase.",2023-09-15,7
REV004322,ORD004323,CUST01556,PROD0099,4,"Very good, happy with purchase.",2024-02-25,130
REV001682,ORD001683,CUST00253,PROD0018,5,Excellent product!,2023-06-14,117
REV003537,ORD003538,CUST01347,PROD0129,4,"Very good, happy with purchase.",2023-08-06,62
REV001270,ORD001271,CUST01557,PROD0004,4,"Very good, happy with purchase.",2023-01-09,16
REV004811,ORD004812,CUST00999,PROD0069,5,Excellent product!,2023-12-04,67
REV007086,ORD007087,CUST00186,PROD0080,2,Disappointed with quality.,2023-09-09,77
REV008324,ORD008325,CUST00782,PROD0004,5,Excellent product!,2023-05-10,137
REV004632,ORD004633,CUST00186,PROD0063,4,"Very good, happy with purchase.",2024-03-30,90
REV006419,ORD006420,CUST01463,PROD0041,5,Excellent product!,2024-03-16,46
REV006760,ORD006761,CUST01155,PROD0126,5,Excellent product!,2023-09-09,91
REV005724,ORD005725,CUST00884,PROD0080,5,Excellent product!,2023-02-16,121
REV001322,ORD001323,CUST00436,PROD0007,4,"Very good, happy with purchase.",2023-04-18,118
REV003054,ORD003055,CUST01907,PROD0071,5,Excellent product!,2024-03-12,50
REV006645,ORD006646,CUST00834,PROD0019,3,"Average, could be better.",2023-03-01,18
REV000480,ORD000481,CUST00116,PROD0120,5,Excellent product!,2023-04-18,134
REV003874,ORD003875,CUST01956,PROD0045,2,,2023-10-15,98
REV000290,ORD000291,CUST00456,PROD0032,1,"Terrible, do not buy.",2022-11-08,52
REV006560,ORD006561,CUST01708,PROD0030,2,,2024-03-17,113
REV002455,ORD002456,CUST01286,PROD0059,4,"Very good, happy with purchase.",2024-02-20,97
REV007471,ORD007472,CUST01920,PROD0001,1,"Terrible, do not buy.",2024-02-13,110
REV003868,ORD003869,CUST00878,PROD0045,5,,2023-08-03,134
REV001737,ORD001738,CUST01115,PROD0008,4,"Very good, happy with purchase.",2024-03-20,115
REV008024,ORD008025,CUST01253,PROD0013,5,Excellent product!,2024-04-04,13
REV008032,ORD008033,CUST01774,PROD0119,1,"Terrible, do not buy.",2024-02-22,73
REV000096,ORD000097,CUST01026,PROD0112,3,"Average, could be better.",2022-07-25,16
REV006097,ORD006098,CUST01220,PROD0146,4,"Very good, happy with purchase.",2024-02-26,100
REV000332,ORD000333,CUST01406,PROD0002,4,"Very good, happy with purchase.",2023-12-06,94
REV001235,ORD001236,CUST01452,PROD0059,3,"Average, could be better.",2022-09-03,16
REV004009,ORD004010,CUST00073,PROD0019,5,Excellent product!,2022-11-11,17
REV002129,ORD002130,CUST01685,PROD0133,4,"Very good, happy with purchase.",2024-02-01,138
REV006484,ORD006485,CUST00672,PROD0070,5,Excellent product!,2023-06-19,37
REV003052,ORD003053,CUST01518,PROD0033,3,"Average, could be better.",2023-10-13,59
REV004681,ORD004682,CUST00713,PROD0005,5,Excellent product!,2022-11-30,86
REV003430,ORD003431,CUST00706,PROD0072,4,"Very good, happy with purchase.",2023-10-07,47
REV002219,ORD002220,CUST01450,PROD0129,5,Excellent product!,2022-12-29,78
REV002839,ORD002840,CUST00021,PROD0086,4,"Very good, happy with purchase.",2024-02-02,25
REV001913,ORD001914,CUST01824,PROD0015,1,"Terrible, do not buy.",2024-03-13,34
REV007937,ORD007938,CUST00565,PROD0016,4,"Very good, happy with purchase.",2023-09-04,133
REV008130,ORD008131,CUST01175,PROD0129,4,"Very good, happy with purchase.",2022-12-16,133
REV000495,ORD000496,CUST00231,PROD0138,2,Disappointed with quality.,2024-01-21,56
REV003777,ORD003778,CUST01820,PROD0124,3,"Average, could be better.",2024-02-24,113
REV002857,ORD002858,CUST00583,PROD0012,5,Excellent product!,2024-02-08,38
REV004809,ORD004810,CUST01281,PROD0061,1,"Terrible, do not buy.",2024-03-23,33
REV008464,ORD008465,CUST01742,PROD0111,4,"Very good, happy with purchase.",2023-10-09,36
REV004593,ORD004594,CUST01365,PROD0001,4,"Very good, happy with purchase.",2024-04-05,75
REV004293,ORD004294,CUST01127,PROD0103,5,Excellent product!,2024-02-08,36
REV001489,ORD001490,CUST01640,PROD0109,1,"Terrible, do not buy.",2024-04-04,14
REV003004,ORD003005,CUST01641,PROD0110,4,,2022-12-14,30
REV000542,ORD000543,CUST00081,PROD0088,1,"Terrible, do not buy.",2024-04-04,37
REV005210,ORD005211,CUST00637,PROD0095,3,"Average, could be better.",2023-08-10,61
REV008467,ORD008468,CUST01644,PROD0013,4,,2024-03-19,40
REV000703,ORD000704,CUST01992,PROD0143,5,Excellent product!,2024-01-19,86
REV002634,ORD002635,CUST00998,PROD0122,2,Disappointed with quality.,2022-08-15,3
REV001215,ORD001216,CUST00090,PROD0102,3,"Average, could be better.",2022-04-29,120
REV003215,ORD003216,CUST01274,PROD0127,5,Excellent product!,2024-03-03,57
REV002486,ORD002487,CUST00958,PROD0024,4,"Very good, happy with purchase.",2022-06-29,37
REV006275,ORD006276,CUST01983,PROD0082,5,,2023-01-14,139
REV001280,ORD001281,CUST01291,PROD0107,5,Excellent product!,2023-07-11,70
REV006974,ORD006975,CUST00903,PROD0137,5,Excellent product!,2024-03-05,65
REV005543,ORD005544,CUST01168,PROD0072,4,"Very good, happy with purchase.",2024-02-11,15
REV005329,ORD005330,CUST01519,PROD0064,4,"Very good, happy with purchase.",2022-12-18,25
REV003028,ORD003029,CUST00709,PROD0111,5,Excellent product!,2024-01-25,114
REV007768,ORD007769,CUST01784,PROD0086,2,Disappointed with quality.,2024-02-22,72
REV004795,ORD004796,CUST01889,PROD0063,4,,2024-02-07,139
REV006667,ORD006668,CUST00711,PROD0082,4,"Very good, happy with purchase.",2023-10-03,114
REV006381,ORD006382,CUST01101,PROD0016,4,"Very good, happy with purchase.",2023-09-27,91
REV006550,ORD006551,CUST00757,PROD0005,5,Excellent product!,2023-02-27,65
REV006326,ORD006327,CUST00194,PROD0081,5,Excellent product!,2024-03-13,135
REV000222,ORD000223,CUST00279,PROD0137,4,"Very good, happy with purchase.",2024-01-06,11
REV002952,ORD002953,CUST01803,PROD0050,5,Excellent product!,2023-11-18,119
REV003117,ORD003118,CUST01510,PROD0080,4,"Very good, happy with purchase.",2023-10-17,46
REV008487,ORD008488,CUST01465,PROD0132,5,Excellent product!,2023-11-02,84
REV002586,ORD002587,CUST01129,PROD0147,3,"Average, could be better.",2024-03-16,39
REV002035,ORD002036,CUST00457,PROD0128,3,"Average, could be better.",2024-04-12,147
REV001982,ORD001983,CUST00040,PROD0003,3,"Average, could be better.",2023-02-17,64
REV002935,ORD002936,CUST00058,PROD0034,4,"Very good, happy with purchase.",2023-02-01,58
REV005309,ORD005310,CUST00656,PROD0061,4,"Very good, happy with purchase.",2023-08-22,146
REV001686,ORD001687,CUST00288,PROD0029,3,"Average, could be better.",2022-11-22,145
REV003185,ORD003186,CUST01357,PROD0103,5,Excellent product!,2023-12-12,41
REV000923,ORD000924,CUST00679,PROD0078,5,Excellent product!,2023-08-26,50
REV004772,ORD004773,CUST00569,PROD0065,5,Excellent product!,2024-03-21,35
REV007499,ORD007500,CUST00561,PROD0084,5,Excellent product!,2024-01-26,89
REV005892,ORD005893,CUST00803,PROD0016,5,Excellent product!,2022-08-07,42
REV007335,ORD007336,CUST00004,PROD0135,5,Excellent product!,2023-12-20,46
REV006944,ORD006945,CUST01386,PROD0080,4,"Very good, happy with purchase.",2024-02-07,55
REV005760,ORD005761,CUST01088,PROD0056,5,Excellent product!,2023-06-05,38
REV002520,ORD002521,CUST00217,PROD0143,4,"Very good, happy with purchase.",2024-03-29,12
REV006161,ORD006162,CUST00818,PROD0098,2,Disappointed with quality.,2023-09-12,129
REV007727,ORD007728,CUST01998,PROD0014,4,"Very good, happy with purchase.",2023-02-12,27
REV004387,ORD004388,CUST01536,PROD0095,4,"Very good, happy with purchase.",2023-10-16,96
REV000628,ORD000629,CUST01510,PROD0072,5,Excellent product!,2024-02-11,101
REV002115,ORD002116,CUST00383,PROD0077,5,Excellent product!,2023-07-05,73
REV001326,ORD001327,CUST01387,PROD0150,5,Excellent product!,2022-09-29,98
REV001015,ORD001016,CUST00964,PROD0029,5,Excellent product!,2022-08-06,150
REV004403,ORD004404,CUST01693,PROD0035,4,"Very good, happy with purchase.",2023-11-15,10
REV005321,ORD005322,CUST00681,PROD0007,5,Excellent product!,2024-03-27,133
REV007925,ORD007926,CUST01990,PROD0062,3,"Average, could be better.",2024-04-01,32
REV003598,ORD003599,CUST01998,PROD0083,4,"Very good, happy with purchase.",2023-10-21,22
REV003075,ORD003076,CUST01751,PROD0139,5,Excellent product!,2024-04-02,57
REV002116,ORD002117,CUST00162,PROD0070,5,Excellent product!,2023-04-25,141
REV003238,ORD003239,CUST00139,PROD0070,5,Excellent product!,2024-01-30,124
REV004545,ORD004546,CUST00319,PROD0135,3,"Average, could be better.",2024-03-15,15
REV002207,ORD002208,CUST01043,PROD0044,5,Excellent product!,2022-10-23,13
REV006799,ORD006800,CUST00543,PROD0073,3,,2023-07-29,42
REV005451,ORD005452,CUST01007,PROD0002,4,"Very good, happy with purchase.",2023-05-06,67
REV007873,ORD007874,CUST01568,PROD0076,4,"Very good, happy with purchase.",2022-07-30,50
REV004191,ORD004192,CUST00574,PROD0108,4,"Very good, happy with purchase.",2023-06-15,13
REV003152,ORD003153,CUST01183,PROD0029,3,"Average, could be better.",2022-11-23,58
REV001883,ORD001884,CUST01751,PROD0027,4,"Very good, happy with purchase.",2024-03-30,41
REV001636,ORD001637,CUST00207,PROD0020,5,Excellent product!,2024-03-09,94
REV005774,ORD005775,CUST01414,PROD0065,4,"Very good, happy with purchase.",2024-01-01,57
REV000729,ORD000730,CUST01011,PROD0007,4,"Very good, happy with purchase.",2023-08-03,57
REV005817,ORD005818,CUST00816,PROD0037,4,"Very good, happy with purchase.",2022-10-18,88
REV000736,ORD000737,CUST01920,PROD0070,5,Excellent product!,2023-11-20,118
REV007129,ORD007130,CUST00795,PROD0077,5,Excellent product!,2023-06-15,60
REV002121,ORD002122,CUST00224,PROD0030,4,"Very good, happy with purchase.",2023-07-23,11
REV000904,ORD000905,CUST01927,PROD0108,4,"Very good, happy with purchase.",2022-12-29,142
REV001289,ORD001290,CUST00402,PROD0012,4,"Very good, happy with purchase.",2023-07-20,137
REV004475,ORD004476,CUST01502,PROD0111,2,Disappointed with quality.,2024-04-03,115
REV000272,ORD000273,CUST00900,PROD0076,4,"Very good, happy with purchase.",2023-04-03,32
REV008193,ORD008194,CUST00661,PROD0102,3,"Average, could be better.",2022-08-10,106
REV004024,ORD004025,CUST01570,PROD0100,3,"Average, could be better.",2024-02-06,52
REV002946,ORD002947,CUST01173,PROD0021,5,,2022-10-03,48
REV002313,ORD002314,CUST01370,PROD0035,4,"Very good, happy with purchase.",2023-12-21,96
REV001340,ORD001341,CUST01616,PROD0070,3,"Average, could be better.",2023-12-15,6
REV002304,ORD002305,CUST00436,PROD0140,5,Excellent product!,2024-03-29,49
REV006603,ORD006604,CUST00911,PROD0098,5,Excellent product!,2024-02-25,147
REV004725,ORD004726,CUST01559,PROD0150,5,Excellent product!,2023-10-15,7
REV004255,ORD004256,CUST01169,PROD0118,4,"Very good, happy with purchase.",2023-11-19,98
REV002272,ORD002273,CUST00912,PROD0054,2,Disappointed with quality.,2024-03-26,3
REV002711,ORD002712,CUST00920,PROD0038,2,Disappointed with quality.,2023-10-04,56
REV002328,ORD002329,CUST00457,PROD0003,3,"Average, could be better.",2024-02-27,25
REV000230,ORD000231,CUST01229,PROD0017,3,"Average, could be better.",2024-01-17,84
REV002180,ORD002181,CUST01790,PROD0098,5,Excellent product!,2023-05-18,134
REV001408,ORD001409,CUST01425,PROD0079,5,Excellent product!,2023-12-30,4
REV001430,ORD001431,CUST00524,PROD0024,5,Excellent product!,2024-02-26,62
REV002779,ORD002780,CUST00007,PROD0032,5,Excellent product!,2022-11-05,34
REV001492,ORD001493,CUST01510,PROD0018,4,"Very good, happy with purchase.",2023-06-27,26
REV008441,ORD008442,CUST01545,PROD0097,5,Excellent product!,2024-01-23,45
REV001626,ORD001627,CUST01009,PROD0125,5,Excellent product!,2024-01-14,147
REV006729,ORD006730,CUST01854,PROD0039,5,Excellent product!,2022-11-28,91
REV004816,ORD004817,CUST00718,PROD0143,3,"Average, could be better.",2022-12-25,40
REV000682,ORD000683,CUST01353,PROD0048,3,"Average, could be better.",2023-11-18,28
REV004269,ORD004270,CUST01186,PROD0071,4,"Very good, happy with purchase.",2024-02-11,135
REV002823,ORD002824,CUST01181,PROD0098,4,"Very good, happy with purchase.",2023-02-19,107
REV006745,ORD006746,CUST00311,PROD0098,5,Excellent product!,2024-02-22,69
REV000058,ORD000059,CUST00732,PROD0113,5,Excellent product!,2022-10-18,21
REV000212,ORD000213,CUST01090,PROD0029,5,Excellent product!,2023-06-13,58
REV007470,ORD007471,CUST00158,PROD0045,1,"Terrible, do not buy.",2023-10-12,21
REV006442,ORD006443,CUST01973,PROD0090,4,"Very good, happy with purchase.",2022-09-16,27
REV003899,ORD003900,CUST01905,PROD0127,4,"Very good, happy with purchase.",2024-01-20,25
REV007076,ORD007077,CUST01221,PROD0005,5,Excellent product!,2024-02-06,96
REV004019,ORD004020,CUST01388,PROD0130,4,,2023-10-29,138
REV006164,ORD006165,CUST01963,PROD0140,5,,2022-10-12,13
REV002787,ORD002788,CUST00818,PROD0099,5,Excellent product!,2022-10-25,46
REV006061,ORD006062,CUST01754,PROD0049,5,Excellent product!,2024-03-13,54
REV004892,ORD004893,CUST01797,PROD0066,5,Excellent product!,2024-01-18,18
REV002342,ORD002343,CUST01190,PROD0103,5,Excellent product!,2023-09-25,52
REV001201,ORD001202,CUST00126,PROD0114,3,"Average, could be better.",2023-01-28,132
REV001447,ORD001448,CUST01366,PROD0133,5,Excellent product!,2024-01-10,132
REV007300,ORD007301,CUST00692,PROD0114,3,"Average, could be better.",2024-03-23,131
REV001947,ORD001948,CUST00704,PROD0137,4,"Very good, happy with purchase.",2023-08-17,134
REV002028,ORD002029,CUST01491,PROD0077,2,Disappointed with quality.,2024-03-21,97
REV006500,ORD006501,CUST01993,PROD0071,5,Excellent product!,2024-01-16,120
REV000224,ORD000225,CUST00424,PROD0099,4,"Very good, happy with purchase.",2023-07-19,18
REV004544,ORD004545,CUST01053,PROD0134,5,Excellent product!,2023-12-21,7
REV003935,ORD003936,CUST01714,PROD0020,5,Excellent product!,2023-07-21,148
REV003419,ORD003420,CUST00430,PROD0150,5,Excellent product!,2024-02-27,11
REV001608,ORD001609,CUST00935,PROD0096,4,"Very good, happy with purchase.",2024-04-07,149
REV004333,ORD004334,CUST01423,PROD0119,5,Excellent product!,2024-01-08,50
REV004073,ORD004074,CUST00029,PROD0045,4,"Very good, happy with purchase.",2024-03-19,41
REV002733,ORD002734,CUST01744,PROD0013,4,"Very good, happy with purchase.",2023-11-26,115
REV004664,ORD004665,CUST00742,PROD0110,5,Excellent product!,2023-10-05,101
REV004246,ORD004247,CUST01496,PROD0079,4,"Very good, happy with purchase.",2022-08-16,93
REV007235,ORD007236,CUST00639,PROD0014,4,"Very good, happy with purchase.",2024-04-09,123
REV000211,ORD000212,CUST01710,PROD0017,5,Excellent product!,2022-11-26,22
REV001025,ORD001026,CUST00020,PROD0140,2,Disappointed with quality.,2023-07-14,94
REV002683,ORD002684,CUST00132,PROD0005,4,"Very good, happy with purchase.",2024-03-23,38
REV002587,ORD002588,CUST00998,PROD0009,5,Excellent product!,2022-11-17,82
REV006199,ORD006200,CUST01635,PROD0132,3,"Average, could be better.",2024-04-18,21
REV008268,ORD008269,CUST00793,PROD0069,4,"Very good, happy with purchase.",2024-03-15,17
REV003949,ORD003950,CUST00032,PROD0128,5,Excellent product!,2024-03-08,139
REV006677,ORD006678,CUST00037,PROD0042,5,Excellent product!,2024-03-02,38
REV006512,ORD006513,CUST00126,PROD0048,5,Excellent product!,2023-04-01,6
REV006455,ORD006456,CUST00950,PROD0150,5,Excellent product!,2023-11-14,23
REV001424,ORD001425,CUST00895,PROD0077,4,"Very good, happy with purchase.",2024-02-16,2
REV007002,ORD007003,CUST00773,PROD0132,5,Excellent product!,2022-12-06,109
REV003508,ORD003509,CUST01422,PROD0138,5,Excellent product!,2024-04-10,119
REV001485,ORD001486,CUST01335,PROD0016,4,"Very good, happy with purchase.",2024-01-19,83
REV004468,ORD004469,CUST01947,PROD0100,5,Excellent product!,2023-11-30,10
REV005475,ORD005476,CUST01609,PROD0102,5,Excellent product!,2023-11-26,138
REV001546,ORD001547,CUST01127,PROD0069,4,"Very good, happy with purchase.",2024-03-19,122
REV007634,ORD007635,CUST00099,PROD0116,5,Excellent product!,2022-12-04,56
REV005024,ORD005025,CUST01510,PROD0096,5,Excellent product!,2023-06-03,116
REV006960,ORD006961,CUST01219,PROD0052,4,"Very good, happy with purchase.",2024-04-18,115
REV007755,ORD007756,CUST01566,PROD0072,5,Excellent product!,2024-03-20,52
REV008033,ORD008034,CUST01621,PROD0050,5,Excellent product!,2023-10-16,88
REV005928,ORD005929,CUST01265,PROD0131,5,Excellent product!,2022-05-11,48
REV007348,ORD007349,CUST01509,PROD0052,3,"Average, could be better.",2022-07-25,83
REV008372,ORD008373,CUST00195,PROD0020,4,"Very good, happy with purchase.",2022-09-17,72
REV007332,ORD007333,CUST01672,PROD0052,4,"Very good, happy with purchase.",2023-12-13,132
REV000683,ORD000684,CUST01793,PROD0002,5,Excellent product!,2023-12-08,131
REV000905,ORD000906,CUST00848,PROD0133,5,Excellent product!,2024-04-01,133
REV003982,ORD003983,CUST01112,PROD0137,2,Disappointed with quality.,2023-09-23,138
REV007090,ORD007091,CUST00089,PROD0056,4,"Very good, happy with purchase.",2024-02-02,58
REV000935,ORD000936,CUST00495,PROD0008,4,"Very good, happy with purchase.",2024-02-24,47
REV001691,ORD001692,CUST00672,PROD0065,5,Excellent product!,2023-09-10,121
REV001460,ORD001461,CUST00255,PROD0009,5,Excellent product!,2023-07-18,79
REV007183,ORD007184,CUST00516,PROD0035,4,"Very good, happy with purchase.",2023-10-11,56
REV004855,ORD004856,CUST01328,PROD0051,2,Disappointed with quality.,2023-05-24,119
REV006872,ORD006873,CUST01394,PROD0115,4,"Very good, happy with purchase.",2023-11-23,39
REV008294,ORD008295,CUST01365,PROD0140,3,"Average, could be better.",2024-03-31,64
REV004059,ORD004060,CUST01727,PROD0143,5,Excellent product!,2024-03-26,26
REV002621,ORD002622,CUST00636,PROD0107,3,"Average, could be better.",2024-02-15,64
REV006101,ORD006102,CUST01864,PROD0020,4,"Very good, happy with purchase.",2023-05-18,55
REV001361,ORD001362,CUST01318,PROD0098,5,Excellent product!,2024-03-20,27
REV000116,ORD000117,CUST01972,PROD0113,5,Excellent product!,2023-09-26,146
REV000641,ORD000642,CUST00910,PROD0109,5,Excellent product!,2022-11-11,107
