order_id,customer_id,product_id,order_date,quantity,unit_price,discount,subtotal,shipping_cost,total_amount,order_status,delivery_days,channel
ORD000038,CUST00332,PROD0070,2023-09-19,4,105.18,0.05,399.68,0.0,399.68,Completed,12.0,Website
ORD000039,CUST01030,PROD0017,2023-05-21,4,195.72,0.0,782.88,0.0,782.88,Completed,5.0,Website
ORD000040,CUST00766,PROD0074,2024-03-01,3,66.25,0.0,198.75,0.0,198.75,Completed,9.0,Mobile App
ORD000041,CUST00017,PROD0086,2023-12-02,5,45.44,0.0,227.2,0.0,227.2,Completed,9.0,Website
ORD000042,CUST00802,PROD0103,2023-07-23,5,35.99,0.0,179.95,0.0,179.95,Completed,6.0,Mobile App
ORD000043,CUST00761,PROD0098,2023-09-04,4,14.36,0.0,57.44,0.0,57.44,Completed,14.0,Mobile App
ORD000044,CUST00065,PROD0062,2024-02-09,1,32.64,0.05,31.01,13.05,44.06,Completed,5.0,Website
ORD000045,CUST01439,PROD0031,2024-03-22,3,14.7,0.0,44.1,5.77,49.87,Completed,14.0,Website
ORD000046,CUST00343,PROD0140,2022-12-17,5,20.92,0.0,104.6,0.0,104.6,Completed,4.0,Mobile App
ORD000047,CUST00323,PROD0030,2023-06-25,3,26.09,0.2,62.62,0.0,62.62,Completed,6.0,Website
ORD000048,CUST00438,PROD0015,2023-12-11,4,73.27,0.1,263.77,0.0,263.77,Returned,,Website
ORD000049,CUST01166,PROD0118,2024-03-10,2,38.54,0.0,77.08,0.0,77.08,Returned,,Mobile App
ORD000050,CUST01395,PROD0008,2023-05-20,5,13.18,0.15,56.02,0.0,56.02,Completed,11.0,Website
ORD000051,CUST01016,PROD0092,2023-12-11,2,14.52,0.0,29.04,13.98,43.02,Completed,2.0,Website
ORD000052,CUST01945,PROD0024,2023-12-31,5,37.52,0.0,187.6,0.0,187.6,Completed,6.0,Website
ORD000053,CUST00383,PROD0072,2024-01-27,2,20.06,0.05,38.11,13.34,51.45,Completed,9.0,Website
ORD000054,CUST00532,PROD0128,2023-07-19,1,7.13,0.0,7.13,7.46,14.59,Completed,11.0,Website
ORD000055,CUST01782,PROD0007,2024-03-11,5,37.96,0.05,180.31,0.0,180.31,Completed,13.0,Website
ORD000056,CUST01702,PROD0038,2024-01-23,2,70.57,0.05,134.08,0.0,134.08,Completed,8.0,Website
ORD000057,CUST01183,PROD0103,2023-05-16,3,35.99,0.05,102.57,0.0,102.57,Completed,4.0,Website
ORD000058,CUST01265,PROD0072,2022-07-01,1,20.06,0.15,17.05,12.41,29.46,Completed,13.0,Mobile App
ORD000059,CUST00732,PROD0113,2022-09-30,5,136.56,0.0,682.8,0.0,682.8,Completed,1.0,In-Store
ORD000060,CUST00753,PROD0133,2023-07-18,1,12.78,0.0,12.78,0.38,13.16,Processing,,Website
ORD000061,CUST01452,PROD0033,2022-11-27,1,41.18,0.0,41.18,2.79,43.97,Completed,8.0,Website
ORD000062,CUST01937,PROD0031,2023-12-22,4,14.7,0.0,58.8,0.0,58.8,Completed,10.0,Mobile App
ORD000063,CUST00013,PROD0032,2024-02-26,2,375.59,0.2,600.94,0.0,600.94,Completed,7.0,Mobile App
ORD000064,CUST01286,PROD0023,2024-01-29,4,17.3,0.0,69.2,0.0,69.2,Completed,1.0,Mobile App
ORD000065,CUST00835,PROD0089,2023-08-21,3,143.13,0.15,364.98,0.0,364.98,Completed,3.0,Mobile App
ORD000066,CUST00801,PROD0007,2023-07-11,5,37.96,0.15,161.33,0.0,161.33,Cancelled,,Mobile App
ORD000067,CUST00566,PROD0064,2023-12-11,3,10.0,0.0,30.0,10.79,40.79,Completed,10.0,Website
ORD000068,CUST01536,PROD0061,2023-05-28,2,35.83,0.0,71.66,0.0,71.66,Completed,3.0,Website
ORD000069,CUST01579,PROD0059,2024-02-13,5,37.86,0.0,189.3,0.0,189.3,Returned,,Website
ORD000070,CUST01236,PROD0045,2023-09-22,1,35.14,0.0,35.14,5.45,40.59,Completed,8.0,Website
ORD000071,CUST01697,PROD0057,2024-03-21,3,13.83,0.0,41.49,1.94,43.43,Completed,7.0,In-Store
ORD000072,CUST01727,PROD0009,2023-08-05,4,18.72,0.05,71.14,0.0,71.14,Cancelled,,Website
ORD000073,CUST01209,PROD0118,2023-11-14,1,38.54,0.1,34.69,2.81,37.5,Completed,10.0,Website
ORD000074,CUST01966,PROD0130,2022-06-27,2,31.92,0.2,51.07,0.0,51.07,Completed,14.0,Website
ORD000075,CUST01128,PROD0004,2024-01-11,4,5.0,0.0,20.0,2.34,22.34,Completed,2.0,Phone
ORD000076,CUST00912,PROD0143,2023-08-20,5,19.33,0.15,82.15,0.0,82.15,Completed,3.0,In-Store
ORD000077,CUST01974,PROD0112,2024-03-18,3,29.8,0.1,80.46,0.0,80.46,Completed,14.0,Website
ORD000078,CUST00864,PROD0052,2023-10-11,3,92.67,0.05,264.11,0.0,264.11,Cancelled,,Website
ORD000079,CUST00269,PROD0054,2022-09-08,2,62.88,0.15,106.9,0.0,106.9,Cancelled,,Website
ORD000080,CUST00291,PROD0131,2024-01-10,1,29.03,0.15,24.68,1.59,26.27,Completed,10.0,In-Store
ORD000081,CUST01804,PROD0144,2023-12-24,5,15.15,0.0,75.75,0.0,75.75,Completed,12.0,In-Store
ORD000082,CUST01404,PROD0048,2024-02-10,2,26.6,0.15,45.22,14.38,59.6,Returned,,Website
ORD000083,CUST01925,PROD0087,2023-07-03,2,55.25,0.0,110.5,0.0,110.5,Completed,11.0,Website
ORD000084,CUST00032,PROD0123,2023-08-18,2,58.14,0.0,116.28,0.0,116.28,Completed,14.0,Mobile App
ORD000085,CUST01089,PROD0070,2022-09-22,4,105.18,0.15,357.61,0.0,357.61,Completed,13.0,Mobile App
ORD000086,CUST00215,PROD0061,2023-12-24,1,35.83,0.05,34.04,10.04,44.08,Completed,4.0,Website
ORD000087,CUST01946,PROD0032,2023-03-28,5,375.59,0.0,1877.95,0.0,1877.95,Completed,3.0,Mobile App
ORD000088,CUST01536,PROD0057,2023-02-07,4,13.83,0.0,55.32,0.0,55.32,Returned,,Website
ORD000089,CUST00058,PROD0074,2023-09-03,4,66.25,0.0,265.0,0.0,265.0,Completed,10.0,Website
ORD000090,CUST00970,PROD0094,2024-02-16,4,5.0,0.0,20.0,4.71,24.71,Completed,5.0,Phone
ORD000091,CUST00093,PROD0082,2023-12-12,3,41.73,0.1,112.67,0.0,112.67,Completed,2.0,Mobile App
ORD000092,CUST01919,PROD0018,2023-11-08,3,46.5,0.0,139.5,0.0,139.5,Completed,7.0,Website
ORD000093,CUST00549,PROD0020,2022-05-16,5,83.88,0.2,335.52,0.0,335.52,Completed,11.0,Mobile App
ORD000094,CUST00519,PROD0005,2024-01-30,5,13.41,0.15,56.99,0.0,56.99,Completed,2.0,Website
ORD000095,CUST00770,PROD0055,2024-02-25,5,83.78,0.0,418.9,0.0,418.9,Returned,,Website
ORD000096,CUST01018,PROD0048,2023-05-23,1,26.6,0.05,25.27,12.05,37.32,Completed,13.0,Website
ORD000097,CUST01026,PROD0112,2022-07-12,2,29.8,0.15,50.66,0.0,50.66,Completed,1.0,In-Store
ORD000098,CUST01496,PROD0025,2023-06-28,2,69.99,0.15,118.98,0.0,118.98,Completed,11.0,Website
ORD000099,CUST00322,PROD0052,2022-07-11,5,92.67,0.0,463.35,0.0,463.35,Completed,13.0,Mobile App
ORD000100,CUST01856,PROD0104,2024-03-22,4,101.35,0.1,364.86,0.0,364.86,Completed,10.0,Mobile App
ORD000101,CUST00832,PROD0145,2024-02-24,5,57.52,0.05,273.22,0.0,273.22,Completed,4.0,Website
ORD000102,CUST01046,PROD0124,2023-04-07,2,28.44,0.0,56.88,0.0,56.88,Completed,13.0,Website
ORD000103,CUST01578,PROD0034,2024-01-28,4,15.4,0.15,52.36,0.0,52.36,Cancelled,,Website
ORD000104,CUST01100,PROD0118,2022-08-27,3,38.54,0.15,98.28,0.0,98.28,Cancelled,,Website
ORD000105,CUST01087,PROD0122,2024-03-09,5,94.49,0.05,448.83,0.0,448.83,Completed,6.0,Website
ORD000106,CUST00434,PROD0147,2023-11-01,3,69.93,0.0,209.79,0.0,209.79,Completed,2.0,Website
ORD000107,CUST01291,PROD0085,2023-12-07,3,72.95,0.0,218.85,0.0,218.85,Completed,1.0,Website
ORD000108,CUST01377,PROD0149,2024-01-13,3,6.68,0.0,20.04,3.5,23.54,Completed,3.0,Mobile App
ORD000109,CUST00094,PROD0091,2023-03-23,1,23.4,0.2,18.72,5.24,23.96,Completed,13.0,Mobile App
ORD000110,CUST01432,PROD0117,2024-02-10,3,76.15,0.05,217.03,0.0,217.03,Completed,1.0,Website
ORD000111,CUST00003,PROD0108,2023-11-11,5,46.22,0.05,219.54,0.0,219.54,Completed,7.0,Website
ORD000112,CUST00051,PROD0112,2024-02-20,4,29.8,0.05,113.24,0.0,113.24,Cancelled,,Website
ORD000113,CUST01628,PROD0116,2024-02-27,3,74.16,0.0,222.48,0.0,222.48,Completed,7.0,Mobile App
ORD000114,CUST00790,PROD0110,2023-03-20,1,10.72,0.0,10.72,12.87,23.59,Completed,1.0,In-Store
ORD000115,CUST01425,PROD0081,2023-08-27,2,59.72,0.05,113.47,0.0,113.47,Cancelled,,Website
ORD000116,CUST01629,PROD0099,2024-03-27,3,68.63,0.1,185.3,0.0,185.3,Completed,7.0,Website
ORD000117,CUST01972,PROD0113,2023-09-21,1,136.56,0.0,136.56,0.0,136.56,Completed,11.0,Website
ORD000118,CUST00734,PROD0146,2023-09-21,4,32.16,0.0,128.64,0.0,128.64,Completed,6.0,Mobile App
ORD000119,CUST01889,PROD0120,2023-12-09,1,32.01,0.0,32.01,5.52,37.53,Completed,2.0,Website
ORD000120,CUST00357,PROD0106,2024-01-20,2,8.91,0.05,16.93,4.5,21.43,Completed,2.0,Website
ORD000121,CUST01258,PROD0135,2024-01-25,5,19.68,0.2,78.72,0.0,78.72,Cancelled,,Website
ORD000122,CUST01168,PROD0101,2023-07-22,3,36.29,0.0,108.87,0.0,108.87,Completed,7.0,In-Store
ORD000123,CUST00508,PROD0085,2024-03-07,3,72.95,0.2,175.08,0.0,175.08,Cancelled,,Website
ORD000124,CUST01892,PROD0057,2023-07-29,3,13.83,0.15,35.27,3.86,39.13,Completed,2.0,Mobile App
ORD000125,CUST00626,PROD0032,2024-02-07,4,375.59,0.1,1352.12,0.0,1352.12,Completed,10.0,Website
ORD000126,CUST01543,PROD0063,2024-03-26,3,338.73,0.0,1016.19,0.0,1016.19,Returned,,Website
ORD000127,CUST00584,PROD0148,2023-07-27,3,14.66,0.05,41.78,3.96,45.74,Completed,9.0,Website
ORD000128,CUST01714,PROD0144,2023-11-30,2,15.15,0.0,30.3,3.37,33.67,Completed,10.0,Mobile App
ORD000129,CUST01108,PROD0123,2023-10-22,2,58.14,0.1,104.65,0.0,104.65,Completed,11.0,Website
ORD000130,CUST01316,PROD0134,2023-12-30,5,41.88,0.2,167.52,0.0,167.52,Completed,5.0,Mobile App
ORD000131,CUST01263,PROD0003,2023-04-30,5,68.44,0.05,325.09,0.0,325.09,Completed,3.0,In-Store
ORD000132,CUST00499,PROD0123,2023-01-03,1,58.14,0.05,55.23,0.0,55.23,Completed,6.0,Phone
ORD000133,CUST01633,PROD0050,2023-05-16,3,29.59,0.15,75.45,0.0,75.45,Completed,12.0,Mobile App
ORD000134,CUST00759,PROD0121,2023-03-18,5,40.87,0.0,204.35,0.0,204.35,Completed,14.0,Website
ORD000135,CUST00077,PROD0003,2023-07-26,1,68.44,0.0,68.44,0.0,68.44,Cancelled,,In-Store
ORD000136,CUST00029,PROD0098,2023-07-30,1,14.36,0.0,14.36,10.85,25.21,Completed,4.0,Mobile App
ORD000137,CUST01686,PROD0037,2022-02-17,3,27.97,0.0,83.91,0.0,83.91,Completed,3.0,In-Store
ORD000138,CUST00418,PROD0119,2023-10-07,3,60.87,0.2,146.09,0.0,146.09,Completed,7.0,Website
ORD000139,CUST01083,PROD0101,2024-01-10,2,36.29,0.0,72.58,0.0,72.58,Completed,10.0,Website
ORD000140,CUST01784,PROD0001,2023-11-15,5,24.9,0.05,118.27,0.0,118.27,Cancelled,,Website
ORD000141,CUST00162,PROD0018,2023-01-04,3,46.5,0.15,118.58,0.0,118.58,Completed,6.0,Mobile App
ORD000142,CUST00388,PROD0084,2023-06-30,4,22.37,0.05,85.01,0.0,85.01,Completed,4.0,Website
ORD000143,CUST01122,PROD0013,2024-02-07,2,68.34,0.0,136.68,0.0,136.68,Completed,3.0,In-Store
ORD000144,CUST01387,PROD0035,2022-10-01,1,72.06,0.2,57.65,0.0,57.65,Completed,4.0,Mobile App
ORD000145,CUST01390,PROD0047,2022-12-17,3,28.67,0.05,81.71,0.0,81.71,Completed,4.0,Website
ORD000146,CUST00039,PROD0060,2023-02-12,4,28.39,0.15,96.53,0.0,96.53,Returned,,Mobile App
ORD000147,CUST01034,PROD0102,2024-01-17,5,43.63,0.2,174.52,0.0,174.52,Completed,1.0,Mobile App
ORD000148,CUST01496,PROD0037,2023-02-06,5,27.97,0.2,111.88,0.0,111.88,Completed,5.0,Mobile App
ORD000149,CUST00345,PROD0040,2023-04-19,1,21.25,0.15,18.06,9.94,28.0,Cancelled,,Website
ORD000150,CUST01822,PROD0017,2023-09-04,4,195.72,0.0,782.88,0.0,782.88,Completed,4.0,Website
ORD000151,CUST00619,PROD0082,2023-06-17,1,41.73,0.0,41.73,3.43,45.16,Completed,13.0,Website
ORD000152,CUST00751,PROD0042,2024-01-28,2,10.06,0.2,16.1,8.39,24.49,Cancelled,,Mobile App
ORD000153,CUST00865,PROD0087,2023-08-18,2,55.25,0.05,104.97,0.0,104.97,Completed,13.0,Mobile App
ORD000154,CUST00111,PROD0041,2023-12-06,2,5.42,0.0,10.84,2.0,12.84,Cancelled,,Website
ORD000155,CUST01278,PROD0060,2024-02-13,1,28.39,0.0,28.39,0.24,28.63,Cancelled,,Website
ORD000156,CUST00013,PROD0056,2022-11-29,2,46.96,0.0,93.92,0.0,93.92,Returned,,Mobile App
ORD000157,CUST01862,PROD0065,2023-10-29,4,5.52,0.05,20.98,6.61,27.59,Completed,12.0,Mobile App
ORD000158,CUST01373,PROD0117,2024-03-11,3,76.15,0.2,182.76,0.0,182.76,Completed,1.0,Website
ORD000159,CUST01046,PROD0123,2022-07-10,5,58.14,0.1,261.63,0.0,261.63,Completed,6.0,Website
ORD000160,CUST00646,PROD0015,2023-11-11,2,73.27,0.0,146.54,0.0,146.54,Completed,11.0,In-Store
ORD000161,CUST01319,PROD0045,2023-01-22,2,35.14,0.15,59.74,0.0,59.74,Completed,10.0,In-Store
ORD000162,CUST00530,PROD0044,2024-02-09,2,145.08,0.0,290.16,0.0,290.16,Completed,4.0,Website
ORD000163,CUST00132,PROD0033,2023-12-16,5,41.18,0.0,205.9,0.0,205.9,Completed,8.0,Mobile App
ORD000164,CUST01435,PROD0024,2023-03-15,4,37.52,0.15,127.57,0.0,127.57,Processing,,Website
ORD000165,CUST01118,PROD0075,2023-03-04,1,238.44,0.0,238.44,0.0,238.44,Cancelled,,In-Store
ORD000166,CUST00354,PROD0067,2023-01-03,5,23.6,0.05,112.1,0.0,112.1,Completed,12.0,In-Store
ORD000167,CUST00209,PROD0127,2023-11-04,3,209.95,0.2,503.88,0.0,503.88,Completed,5.0,Phone
ORD000168,CUST01755,PROD0047,2024-03-17,3,28.67,0.0,86.01,0.0,86.01,Completed,7.0,Website
ORD000169,CUST00949,PROD0138,2023-07-25,4,36.0,0.0,144.0,0.0,144.0,Returned,,Website
ORD000170,CUST00961,PROD0038,2024-03-20,3,70.57,0.1,190.54,0.0,190.54,Completed,14.0,Mobile App
ORD000171,CUST00369,PROD0082,2022-08-30,5,41.73,0.0,208.65,0.0,208.65,Completed,13.0,Website
ORD000172,CUST01602,PROD0099,2023-11-04,4,68.63,0.2,219.62,0.0,219.62,Cancelled,,Website
ORD000173,CUST01460,PROD0130,2023-03-19,2,31.92,0.0,63.84,0.0,63.84,Completed,8.0,Website
ORD000174,CUST00741,PROD0147,2023-06-21,1,69.93,0.2,55.94,0.0,55.94,Completed,3.0,Mobile App
ORD000175,CUST00623,PROD0013,2022-05-03,1,68.34,0.1,61.51,0.0,61.51,Completed,8.0,In-Store
ORD000176,CUST00086,PROD0089,2024-01-16,5,143.13,0.05,679.87,0.0,679.87,Completed,13.0,Website
ORD000177,CUST01258,PROD0019,2024-01-01,4,27.98,0.2,89.54,0.0,89.54,Returned,,Mobile App
ORD000178,CUST00351,PROD0010,2023-03-21,2,5.96,0.1,10.73,2.27,13.0,Completed,2.0,Mobile App
ORD000179,CUST01269,PROD0065,2023-12-31,3,5.52,0.0,16.56,8.97,25.53,Returned,,Mobile App
ORD000180,CUST01838,PROD0127,2023-01-28,1,209.95,0.0,209.95,0.0,209.95,Completed,3.0,Mobile App
ORD000181,CUST01580,PROD0066,2023-05-10,2,44.66,0.0,89.32,0.0,89.32,Completed,9.0,Website
ORD000182,CUST00335,PROD0093,2023-01-07,3,41.46,0.0,124.38,0.0,124.38,Completed,3.0,Website
ORD000183,CUST00766,PROD0083,2024-03-03,3,10.06,0.1,27.16,13.19,40.35,Completed,7.0,Website
ORD000184,CUST00394,PROD0001,2022-12-29,5,24.9,0.2,99.6,0.0,99.6,Completed,4.0,Mobile App
ORD000185,CUST00043,PROD0078,2024-02-13,4,14.86,0.2,47.55,0.28,47.83,Processing,,Website
ORD000186,CUST01063,PROD0131,2024-03-04,5,29.03,0.1,130.64,0.0,130.64,Completed,6.0,In-Store
ORD000187,CUST01842,PROD0043,2022-02-23,1,168.49,0.2,134.79,0.0,134.79,Completed,6.0,Mobile App
ORD000188,CUST00774,PROD0090,2024-02-14,1,40.95,0.1,36.86,11.49,48.35,Completed,6.0,Website
ORD000189,CUST01452,PROD0128,2023-06-25,3,7.13,0.1,19.25,10.53,29.78,Cancelled,,Mobile App
ORD000190,CUST01046,PROD0054,2023-07-27,2,62.88,0.1,113.18,0.0,113.18,Completed,12.0,Website
ORD000191,CUST01469,PROD0048,2023-05-07,4,26.6,0.05,101.08,0.0,101.08,Completed,8.0,Website
ORD000192,CUST01537,PROD0092,2023-01-20,5,14.52,0.0,72.6,0.0,72.6,Completed,1.0,Website
ORD000193,CUST00082,PROD0139,2024-01-29,1,20.19,0.0,20.19,12.14,32.33,Completed,3.0,In-Store
ORD000194,CUST01439,PROD0041,2024-01-03,2,5.42,0.1,9.76,4.29,14.05,Completed,2.0,Website
ORD000195,CUST01281,PROD0056,2023-12-17,1,46.96,0.0,46.96,8.87,55.83,Completed,6.0,Website
ORD000196,CUST01436,PROD0103,2024-03-24,2,35.99,0.05,68.38,0.0,68.38,Completed,4.0,Website
ORD000197,CUST01475,PROD0040,2024-01-30,4,21.25,0.0,85.0,0.0,85.0,Completed,14.0,Mobile App
ORD000198,CUST00608,PROD0047,2024-02-07,1,28.67,0.05,27.24,5.65,32.89,Processing,,Website
ORD000199,CUST01394,PROD0132,2024-02-02,1,81.92,0.15,69.63,0.0,69.63,Completed,11.0,Mobile App
ORD000200,CUST00199,PROD0053,2022-08-04,1,37.91,0.0,37.91,9.82,47.73,Completed,13.0,Website
ORD000201,CUST00090,PROD0147,2022-10-01,5,69.93,0.2,279.72,0.0,279.72,Returned,,Mobile App
ORD000202,CUST01443,PROD0017,2023-10-04,1,195.72,0.0,195.72,0.0,195.72,Completed,14.0,Mobile App
ORD000203,CUST00499,PROD0096,2022-12-04,3,27.52,0.1,74.3,0.0,74.3,Returned,,Mobile App
ORD000204,CUST01810,PROD0096,2023-03-25,5,27.52,0.0,137.6,0.0,137.6,Completed,14.0,Website
ORD000205,CUST01305,PROD0128,2023-07-12,4,7.13,0.0,28.52,13.4,41.92,Completed,2.0,Website
ORD000206,CUST00225,PROD0084,2024-03-04,3,22.37,0.1,60.4,0.0,60.4,Completed,9.0,Mobile App
ORD000207,CUST00685,PROD0035,2023-08-21,1,72.06,0.0,72.06,0.0,72.06,Completed,13.0,Phone
ORD000208,CUST01540,PROD0128,2024-02-06,4,7.13,0.15,24.24,7.87,32.11,Completed,4.0,In-Store
ORD000209,CUST01067,PROD0100,2023-11-21,4,40.76,0.0,163.04,0.0,163.04,Completed,14.0,Website
ORD000210,CUST00672,PROD0112,2023-03-10,2,29.8,0.0,59.6,0.0,59.6,Completed,5.0,Website
ORD000211,CUST00229,PROD0112,2023-05-25,2,29.8,0.0,59.6,0.0,59.6,Completed,2.0,Website
ORD000212,CUST01710,PROD0017,2022-11-17,1,195.72,0.0,195.72,0.0,195.72,Completed,3.0,Mobile App
ORD000213,CUST01090,PROD0029,2023-06-04,3,18.6,0.15,47.43,7.28,54.71,Completed,9.0,Website
ORD000214,CUST01164,PROD0029,2024-02-19,1,18.6,0.05,17.67,12.94,30.61,Completed,8.0,Website
ORD000215,CUST01260,PROD0072,2023-05-25,5,20.06,0.15,85.25,0.0,85.25,Completed,9.0,In-Store
ORD000216,CUST00357,PROD0029,2022-12-07,5,18.6,0.0,93.0,0.0,93.0,Returned,,Website
ORD000217,CUST00029,PROD0105,2023-10-29,1,37.01,0.15,31.46,10.32,41.78,Completed,3.0,Website
ORD000218,CUST00128,PROD0090,2022-02-03,2,40.95,0.15,69.62,0.0,69.62,Completed,3.0,Website
ORD000219,CUST00397,PROD0102,2024-01-17,2,43.63,0.2,69.81,0.0,69.81,Completed,2.0,Mobile App
ORD000220,CUST00230,PROD0084,2023-11-06,2,22.37,0.0,44.74,3.66,48.4,Completed,9.0,Mobile App
ORD000221,CUST01127,PROD0091,2024-01-27,5,23.4,0.15,99.45,0.0,99.45,Cancelled,,Website
ORD000222,CUST01305,PROD0044,2024-03-06,5,145.08,0.2,580.32,0.0,580.32,Completed,10.0,In-Store
ORD000223,CUST00279,PROD0137,2024-01-03,4,31.24,0.0,124.96,0.0,124.96,Completed,14.0,Website
ORD000224,CUST00894,PROD0059,2023-02-09,2,37.86,0.2,60.58,0.0,60.58,Completed,9.0,Mobile App
ORD000225,CUST00424,PROD0099,2023-07-02,2,68.63,0.0,137.26,0.0,137.26,Completed,14.0,Website
ORD000226,CUST01844,PROD0022,2023-12-01,5,21.5,0.0,107.5,0.0,107.5,Completed,11.0,In-Store
ORD000227,CUST00230,PROD0104,2024-02-10,2,101.35,0.05,192.56,0.0,192.56,Completed,8.0,Phone
ORD000228,CUST00311,PROD0079,2024-01-04,1,19.93,0.0,19.93,14.6,34.53,Completed,4.0,In-Store
ORD000229,CUST01969,PROD0052,2023-06-12,2,92.67,0.15,157.54,0.0,157.54,Completed,10.0,Mobile App
ORD000230,CUST01926,PROD0131,2023-08-23,2,29.03,0.0,58.06,0.0,58.06,Completed,3.0,Mobile App
ORD000231,CUST01229,PROD0017,2023-12-31,5,195.72,0.05,929.67,0.0,929.67,Completed,6.0,Website
ORD000232,CUST01566,PROD0006,2024-01-15,4,77.47,0.05,294.39,0.0,294.39,Cancelled,,In-Store
ORD000233,CUST00195,PROD0012,2023-12-02,4,242.17,0.2,774.94,0.0,774.94,Completed,11.0,Mobile App
ORD000234,CUST01691,PROD0043,2023-11-10,1,168.49,0.15,143.22,0.0,143.22,Completed,9.0,Website
ORD000235,CUST01754,PROD0064,2024-01-24,1,10.0,0.1,9.0,1.91,10.91,Cancelled,,Website
ORD000236,CUST01959,PROD0030,2023-08-20,4,26.09,0.1,93.92,0.0,93.92,Returned,,Website
